OID_,STREETNAME,CLASS,ADMIN_TYPE,RT_NUMBER,ALTRTNUM1,ALTRTNUM2,ALTRTNUM3,ALTRTNUM4,ALTRT1TYPE,RDTYPE,ROUTE_ID,ROUTE_SYST,ROUTE_NUMB,ROUTE_DIRE,RD_SEG_ID,STREET_NAM,FM_ST_NAME,TO_ST_NAME,FACILITY,F_CLASS,URBAN_AREA,URBAN_TYPE,F_F_CLASS,JURISDICTN,NHS,FD_AID_RTE,FD_AID_RD,CONTROL,NUM_LANES,OPP_LANES,SURFACE_TP,SURFACE_WD,SHLDR_RT_W,SHLDR_RT_T,SHLDR_LT_W,SHLDR_LT_T,SHLDR_UL_W,SHLDR_UL_T,MED_WIDTH,MED_TYPE,CURB,LT_SIDEWLK,RT_SIDEWLK,OPERATION,SPEED_LIM,OP_DIR_SL,TRUCK,T_EXC_TYPE,T_EXC_TIME,TRK_NETWRK,TRUCK_RTE,ROW_WIDTH,STRUCT_CND,TERRAIN,TOLL_ROAD,MHS,MGIS_TOWN,CITY,COUNTY,HWY_DIST,MPO,RPA,RTA,MILE_COUNT,AADT,AADT_YEAR,AADT_DERIV,LENGTH_MI,LENGTH_FT,SHAPE_Leng,Shape_Length,shape_wkt
1399,FRANKLIN PARK ROAD,4,0, , , , , ,0,4,N1612 WB,N,1612,WB,47660,FRANKLIN PARK ROAD,BLUE HILL AVENUE,GLEN LANE,1,5,09271,1,4,2,0,  54,3,0,3,0,6,60.000000000000000,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,3,10,10,2,20,0, ,1,1,0,0,80.000000000000000,1,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,0,0,0,0,0.073263900000000,386.833388860000014,117.907052739999997,0.001314432661327,"MULTILINESTRING ((-71.085245954999948 42.303446154000028, -71.085281492999968 42.303430524000078, -71.085552362999977 42.303304333000028, -71.085560688999976 42.303299698000046, -71.085878737999963 42.303122636000069, -71.086007633999941 42.303049028000032, -71.086402580999959 42.302823484000044))"
1400,NEPONSET AVENUE,4,0, , , , , ,0,4,N1618 NB,N,1618,NB,48102,NEPONSET AVENUE,ADAMS STREET,QUINCY CITY LINE,1,5,09271,1,4,2,0,  54,3,0,2,0,6,44.000000000000000,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,3,10,10,2,30,30, ,1,1,0,0,64.000000000000000,1,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,10549,2016,14,0.037257070000000,196.717321489999989,59.959559510100000,0.000644298272448,"MULTILINESTRING ((-71.051906332999977 42.294102438000039, -71.052207228999976 42.294315742000038, -71.052431381999952 42.294475858000055))"
1401,TRENTON STREET,5,0, , , , , ,0,5,N2314 EB,N,2314,EB,44054,TRENTON STREET,MERIDIAN STREET,EAST EAGLE STREET,1,6,09271,1,5,2,0, 116,3,0,2,0,6,34.000000000000000,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,3,8,8,1,0,0, ,1,1,0,0,50.000000000000000,1,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,3874,2016,14,0.061336540000000,323.856937609999989,98.711792007000000,0.001142752984422,"MULTILINESTRING ((-71.033194252999976 42.380102995000072, -71.032123664999972 42.380502652000075))"
1402,HARRISON AVENUE,4,0, , , , , ,0,4,N1613 SB,N,1613,SB,45055,HARRISON AVENUE,ESSEX STREET,WARREN STREET,1,5,09271,1,4,2,0,  54,3,0,2,0,6,34.000000000000000,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,3,12,12,1,0,0, ,1,1,0,0,56.000000000000000,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,11018,2016,14,0.038211720000000,201.757862630000005,61.495919520999998,0.000568383964791,"MULTILINESTRING ((-71.062117684999976 42.349192855000069, -71.062309495999955 42.348657814000035))"
1403,WELD STREET,5,0, , , , , ,0,5,N3037 EB,N,3037,EB,48345,WELD STREET,WALTER STREET,COREY STREET,1,6,09271,1,5,2,0,  41,3,0,2,0,6,37.000000000000000,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,3,7,7,2,0,0, ,1,1,0,0,51.000000000000000,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,3683,2016,14,0.014216730000000,75.064318380000003,22.879650002500000,0.000275124272330,"MULTILINESTRING ((-71.158683235999945 42.291845471000045, -71.158521521999944 42.291828672000065, -71.158410986999968 42.291807523000045))"
1404,CONSTITUTION ROAD,5,0, , , , , ,0,5,L201254 EB,L,201254,EB,0,CONSTITUTION ROAD,CHELSEA STREET,WARREN STREET,1,0,09271,1,7,2,0, ,0,0,2,0,6,48.000000000000000,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,3,15,10,2,0,0, ,1,1,0,0,44.000000000000000,1,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.123124330000000,650.096468360000017,198.149799854999998,0.002237489952404,"MULTILINESTRING ((-71.060150569999962 42.371691376000058, -71.059487355999977 42.371989873000075, -71.059485502999962 42.371990761000063, -71.058708086999957 42.372362195000051, -71.058376244999977 42.372526914000048, -71.058251392999978 42.372588887000063, -71.058138343999985 42.372665727000026))"
1405,WILMORE STREET,5,0, , , , , ,0,5,L153541 NB,L,153541,NB,0,WILMORE STREET,BLUE HILL AVENUE,NORFOLK STREET,1,0,09271,1,7,2,0, ,0,0,2,0,6,23.000000000000000,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,3,6,6,1,0,0, ,1,1,0,0,35.000000000000000,1,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.111804030000000,590.325259599999981,179.931498987999987,0.001928593032386,"MULTILINESTRING ((-71.093260303999955 42.278513478000036, -71.09304470099994 42.278398380000056, -71.092154881999988 42.277732936000064, -71.091698896999958 42.277385826000057))"
1406,SOUTH STREET,4,0, , , , , ,0,4,N1593 NB,N,1593,NB,47583,SOUTH STREET,CENTRE STREET,WASHINGTON STREET,1,5,09271,1,4,2,0,  54,3,0,2,0,6,45.000000000000000,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,3,8,8,2,0,0, ,1,1,0,0,61.000000000000000,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,11148,2016,14,0.020274650000000,107.050145200000003,32.628949515700000,0.000294311089078,"MULTILINESTRING ((-71.114696937999952 42.304560390000063, -71.114669948999961 42.30485346100005))"
1407,EDGEMERE ROAD,5,0, , , , , ,0,5,L116840 NB,L,116840,NB,0,EDGEMERE ROAD,WASHINGTON STREET,GROVE STREET,1,0,09271,1,7,2,0, ,0,0,2,0,6,26.000000000000000,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,3,7,7,1,0,0, ,1,1,0,0,41.000000000000000,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,1,1154,0,0,0.005355150000000,28.275205230000001,8.618299790260000,0.000092146619350,"MULTILINESTRING ((-71.155860353999969 42.262508947000072, -71.155786110999941 42.262454367000032))"
1408,TREMONT STREET,4,0, , , , , ,0,4,N413 SB,N,413,SB,474320,TREMONT STREET,COURT STREET,HUNTINGTON AVENUE,1,3,09271,1,3,2,15,  61,2,0,2,2,6,70.000000000000000,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,9.000000000000000,1,3,12,12,2,30,0, ,1,1,0,0,94.000000000000000,2,1,0,0,BOSTON,35,25,6,Boston Region,MAPC,MBTA,0,15916,2009,4,0.007836160000000,41.374936820000002,12.611105964800000,0.000134292265245,"MULTILINESTRING ((-71.080470023999965 42.339291669000033, -71.080363059999968 42.339372867000066))"
